OffspringID,InferredDad,InferredMum,Probability
MC19_J0151,MC19_RM040,MC19_F0416,1
MC19_J0159,*,#,1
MC19_J0167,MC19_RM093,MC19_F0867,1
MC19_J0175,*,#,1
MC19_J0183,MC19_RM071,MC19_F0428,1
MC19_J0191,MC19_RM045,MC19_F0147,1
MC19_J0199,MC19_M0531,MC19_F0078,1
MC19_J0207,MC19_M0518,MC19_F0192,1
MC19_J0215,*,#,1
MC19_J0223,MC19_RM112,MC19_F0972,1
MC19_J0231,MC19_M0076,MC19_F0240,1
MC19_J0239,MC19_RM033,#,1
MC19_J0152,MC19_M0221,MC19_F0277,1
MC19_J0160,MC19_M0896,#,1
MC19_J0168,MC19_RM008,MC19_F0964,1
MC19_J0176,*,#,1
MC19_J0184,*,#,1
MC19_J0192,MC19_RM067,MC19_F0057,1
MC19_J0200,MC19_RM045,MC19_F0147,1
MC19_J0208,MC19_RM083,MC19_F0268,1
MC19_J0216,MC19_RM011,MC19_F0461,1
MC19_J0224,MC19_M0997,MC19_F0918,1
MC19_J0232,*,#,1
MC19_J0240,MC19_RM074,MC19_F0888,1
MC19_J0153,MC19_M0304,MC19_F0187,1
MC19_J0161,*,#,1
MC19_J0169,MC19_RM012,#,1
MC19_J0177,MC19_RM050,MC19_F0593,1
MC19_J0185,MC19_RM030,MC19_F0338,1
MC19_J0193,MC19_RM068,MC19_F0994,1
MC19_J0201,MC19_M0304,MC19_F0187,1
MC19_J0209,MC19_M0079,MC19_F0502,1
MC19_J0217,MC19_RM099,MC19_F0912,1
MC19_J0225,MC19_RM105,MC19_F0404,1
MC19_J0233,MC19_M0681,MC19_F0038,1
MC19_J0241,MC19_RM089,MC19_F0957,1
MC19_J0154,MC19_M0173,MC19_F0912,1
MC19_J0162,*,MC19_F0292,1
MC19_J0170,MC19_M0128,MC19_F0372,1
MC19_J0178,MC19_M0827,MC19_F0063,1
MC19_J0186,*,MC19_F0308,1
MC19_J0194,MC19_M0681,MC19_F0038,1
MC19_J0210,MC19_RM052,MC19_F0014,1
MC19_J0218,MC19_RM030,MC19_F0338,1
MC19_J0226,MC19_RM105,MC19_F0404,1
MC19_J0234,MC19_RM083,MC19_F0268,1
MC19_J0242,MC19_M0056,MC19_F0977,1
MC19_J0155,MC19_M0056,MC19_F0977,1
MC19_J0163,MC19_M0056,MC19_F0977,1
MC19_J0171,MC19_M0056,MC19_F0977,1
MC19_J0179,MC19_RM073,MC19_F0063,1
MC19_J0187,MC19_RM051,MC19_F0502,1
MC19_J0195,MC19_M0672,MC19_F0075,1
MC19_J0203,MC19_RM071,MC19_F0428,1
